description,category
Card Payment to YouTube Premium on 24 Oct 2023,Entertainment
Standing Order to HMRC Refund on 21 Sep 2023,Income
Card Payment to Superdrug on 15 Sep 2023,Health & Beauty
Faster Payment to HMRC Refund on 29 Aug 2023,Income
Card Payment to Payroll Ltd on 12 Dec 2023,Income
Transfer from Netflix on 01 Apr 2024,Entertainment
Standing Order to Marks & Spencer on 07 Oct 2023,Groceries
Faster Payment to Trainline on 02 Mar 2024,Travel
Transfer from British Gas on 08 Nov 2023,Utilities
Transfer from AXA UK on 15 Jul 2024,Insurance
Card Payment to Aldi on 05 Aug 2023,Groceries
Transfer from EE on 27 Jan 2025,Utilities
Transfer from Aviva on 06 Sep 2024,Insurance
Faster Payment to Disney Plus on 24 Jan 2025,Entertainment
Card Payment to Apple.com/Bill on 18 May 2024,Technology
Faster Payment to Greggs on 18 Jun 2023,Food & Drink
Standing Order to YouTube Premium on 25 Aug 2023,Entertainment
Transfer from iShares on 10 Jun 2024,Investment
Card Payment to Payroll Ltd on 03 Dec 2024,Income
Direct Debit from Microsoft 365 on 17 Dec 2024,Technology
Transfer from Wagamama on 12 Dec 2023,Food & Drink
Standing Order to Amazon on 10 Nov 2024,Shopping
Direct Debit from AXA UK on 03 Feb 2024,Insurance
Transfer from Transferwise on 23 Aug 2024,Transfer
Card Payment to Boots UK on 10 May 2025,Health & Beauty
Card Payment to eBay on 23 Aug 2024,Shopping
Faster Payment to Sainsbury's on 15 Apr 2025,Groceries
Faster Payment to Superdrug on 18 Mar 2024,Health & Beauty
Card Payment to Marks & Spencer on 06 Oct 2024,Groceries
Faster Payment to Apple.com/Bill on 03 Jul 2023,Technology
Card Payment to Wagamama on 13 May 2025,Food & Drink
Faster Payment to PayPal on 07 Jan 2025,Transfer
Card Payment to Asda on 04 Dec 2024,Groceries
Transfer from Vodafone on 05 Jan 2025,Utilities
Card Payment to Currys PC World on 15 Dec 2023,Technology
Direct Debit from HMRC Refund on 14 May 2025,Income
Faster Payment to iShares on 12 Dec 2024,Investment
Direct Debit from Netflix on 27 Aug 2023,Entertainment
Faster Payment to Superdrug on 04 Oct 2024,Health & Beauty
Transfer from Superdrug on 25 Aug 2024,Health & Beauty
Direct Debit from Pret A Manger on 01 Oct 2023,Food & Drink
Standing Order to Wilko on 28 Jun 2023,Shopping
Card Payment to Google Storage on 08 Jul 2023,Technology
Faster Payment to Vodafone on 11 Aug 2024,Utilities
Direct Debit from YouTube Premium on 15 Jun 2023,Entertainment
Card Payment to Tesco on 03 Feb 2024,Groceries
Card Payment to EE on 23 Feb 2024,Utilities
Transfer from Microsoft 365 on 14 Dec 2023,Technology
Direct Debit from Airbnb on 10 Mar 2024,Accommodation
Faster Payment to AXA UK on 27 Sep 2024,Insurance
Direct Debit from IKEA on 05 Nov 2024,Shopping
Card Payment to Aviva on 21 Aug 2023,Insurance
Direct Debit from Aviva on 30 Apr 2024,Insurance
Transfer from Google Storage on 03 Feb 2025,Technology
Faster Payment to TFL on 29 May 2024,Travel
Card Payment to HMRC Refund on 29 Nov 2023,Income
Standing Order to Asda on 18 Jul 2024,Groceries
Transfer from Disney Plus on 25 Jan 2025,Entertainment
Transfer from Airbnb on 24 Feb 2024,Accommodation
Transfer from Netflix on 18 Feb 2025,Entertainment
Standing Order to Holland & Barrett on 20 Jun 2023,Health & Beauty
Card Payment to Amazon on 14 Jul 2024,Shopping
Faster Payment to AXA UK on 04 Jan 2024,Insurance
Faster Payment to Amazon on 06 Jun 2024,Shopping
Transfer from Superdrug on 03 Jun 2025,Health & Beauty
Direct Debit from Premier Inn on 17 Jul 2023,Accommodation
Faster Payment to Netflix on 05 Oct 2023,Entertainment
Card Payment to Vodafone on 01 Feb 2024,Utilities
Faster Payment to eBay on 17 Mar 2025,Shopping
Transfer from Disney Plus on 24 Feb 2024,Entertainment
Direct Debit from Boots UK on 09 May 2024,Health & Beauty
Direct Debit from Greggs on 30 Nov 2024,Food & Drink
Card Payment to Sainsbury's on 02 Mar 2024,Groceries
Transfer from Greggs on 16 Apr 2024,Food & Drink
Faster Payment to Premier Inn on 21 Aug 2024,Accommodation
Card Payment to Payroll Ltd on 27 Feb 2025,Income
Faster Payment to Barclays Interest on 17 Dec 2024,Income
Standing Order to IKEA on 09 Jul 2023,Shopping
Card Payment to Transferwise on 07 Apr 2024,Transfer
Direct Debit from British Gas on 30 Oct 2023,Utilities
Transfer from PayPal on 08 Apr 2024,Transfer
Faster Payment to Currys PC World on 30 Jan 2024,Technology
Transfer from IKEA on 04 May 2025,Shopping
Standing Order to Amazon on 11 Jun 2024,Shopping
Standing Order to AXA UK on 14 Sep 2024,Insurance
Faster Payment to Sainsbury's on 24 Mar 2025,Groceries
Faster Payment to Vodafone on 02 Aug 2024,Utilities
Faster Payment to Pret A Manger on 16 Mar 2025,Food & Drink
Faster Payment to McDonald's on 02 Oct 2023,Food & Drink
Transfer from Sainsbury's on 02 Jan 2024,Groceries
Standing Order to Netflix on 24 Aug 2023,Entertainment
Faster Payment to Payroll Ltd on 11 May 2025,Income
Direct Debit from Marks & Spencer on 30 Jul 2024,Groceries
Card Payment to John Lewis on 08 Apr 2024,Shopping
Card Payment to Spotify on 14 May 2025,Entertainment
Standing Order to Microsoft 365 on 07 Jun 2023,Technology
Faster Payment to McDonald's on 05 Dec 2024,Food & Drink
Card Payment to Costa Coffee on 30 Apr 2025,Food & Drink
Card Payment to BT Broadband on 27 Feb 2024,Utilities
Faster Payment to Payroll Ltd on 21 Feb 2025,Income
Direct Debit from Google Storage on 23 Apr 2025,Technology
Direct Debit from Trainline on 26 Jan 2025,Travel
Faster Payment to Amazon on 26 May 2024,Shopping
Faster Payment to Amazon on 14 Aug 2024,Shopping
Direct Debit from Asda on 27 Sep 2023,Groceries
Faster Payment to Holland & Barrett on 07 Jul 2023,Health & Beauty
Transfer from Trainline on 22 Jun 2023,Travel
Transfer from Wagamama on 12 Aug 2023,Food & Drink
Card Payment to Microsoft 365 on 15 Jun 2024,Technology
Standing Order to John Lewis on 03 Oct 2023,Shopping
Transfer from Transferwise on 25 Jul 2023,Transfer
Card Payment to McDonald's on 11 Dec 2023,Food & Drink
Transfer from Asda on 17 Oct 2024,Groceries
Faster Payment to Costa Coffee on 31 Jul 2024,Food & Drink
Card Payment to BT Broadband on 28 Apr 2025,Utilities
Standing Order to Transferwise on 01 Jun 2025,Transfer
Card Payment to Google Storage on 06 Nov 2023,Technology
Direct Debit from Lidl on 29 Dec 2023,Groceries
Standing Order to Pret A Manger on 22 Sep 2024,Food & Drink
Transfer from Barclays Interest on 24 Nov 2023,Income
Standing Order to Starbucks on 07 Feb 2025,Food & Drink
Transfer from AXA UK on 24 Jul 2024,Insurance
Card Payment to iShares on 13 Jun 2024,Investment
Faster Payment to Spotify on 09 Feb 2024,Entertainment
Transfer from Trainline on 04 Sep 2023,Travel
Transfer from iShares on 20 Jan 2024,Investment
Direct Debit from Greggs on 08 Jan 2025,Food & Drink
Card Payment to EE on 18 Sep 2024,Utilities
Transfer from McDonald's on 27 Dec 2024,Food & Drink
Transfer from Pret A Manger on 29 Feb 2024,Food & Drink
Faster Payment to Wilko on 20 Nov 2024,Shopping
Standing Order to Amazon on 08 Jan 2025,Shopping
Faster Payment to British Gas on 23 Aug 2024,Utilities
Standing Order to Google Storage on 30 Mar 2025,Technology
Faster Payment to Travelodge on 20 Jun 2024,Accommodation
Card Payment to eBay on 04 May 2024,Shopping
Direct Debit from Marks & Spencer on 08 Sep 2024,Groceries
Transfer from EasyJet on 25 Jan 2025,Travel
Standing Order to Trainline on 08 Aug 2023,Travel
Standing Order to Premier Inn on 08 Oct 2024,Accommodation
Standing Order to Sainsbury's on 18 Jan 2024,Groceries
Standing Order to Amazon on 19 Feb 2025,Shopping
Faster Payment to Airbnb on 26 Jan 2024,Accommodation
Transfer from Payroll Ltd on 04 Jan 2024,Income
Card Payment to Trainline on 06 Dec 2023,Travel
Card Payment to British Gas on 13 Feb 2025,Utilities
Card Payment to iShares on 02 Dec 2024,Investment
Standing Order to Marks & Spencer on 21 May 2024,Groceries
Card Payment to Direct Line on 03 Nov 2024,Insurance
Faster Payment to Aviva on 26 Dec 2024,Insurance
Direct Debit from Uber on 14 Nov 2023,Travel
Transfer from Thames Water on 12 Jul 2024,Utilities
Transfer from Direct Line on 18 Jan 2025,Insurance
Card Payment to YouTube Premium on 22 Nov 2023,Entertainment
Transfer from Boots UK on 22 Apr 2025,Health & Beauty
Transfer from Spotify on 25 May 2024,Entertainment
Standing Order to Netflix on 22 Sep 2024,Entertainment
Card Payment to Revolut on 07 Feb 2025,Transfer
Standing Order to IKEA on 11 Mar 2025,Shopping
Transfer from Boots UK on 28 Dec 2024,Health & Beauty
Faster Payment to Starbucks on 11 Sep 2023,Food & Drink
Faster Payment to Superdrug on 23 Apr 2025,Health & Beauty
Transfer from Direct Line on 29 Feb 2024,Insurance
Faster Payment to EE on 12 Jun 2024,Utilities
Direct Debit from Microsoft 365 on 22 May 2025,Technology
Direct Debit from Uber on 01 Mar 2024,Travel
Direct Debit from Google Storage on 28 May 2024,Technology
Card Payment to iShares on 25 Dec 2024,Investment
Faster Payment to EE on 04 Nov 2024,Utilities
Direct Debit from HMRC Refund on 10 Feb 2025,Income
Card Payment to Boots UK on 14 Oct 2023,Health & Beauty
Direct Debit from HMRC Refund on 14 Dec 2024,Income
Transfer from eBay on 25 Apr 2024,Shopping
Card Payment to Transferwise on 15 Mar 2024,Transfer
Faster Payment to McDonald's on 23 Mar 2024,Food & Drink
Faster Payment to Aldi on 24 Jul 2024,Groceries
Faster Payment to Greggs on 05 Mar 2024,Food & Drink
Card Payment to Marks & Spencer on 10 Feb 2025,Groceries
Standing Order to Payroll Ltd on 26 Apr 2025,Income
Card Payment to Wilko on 04 Feb 2024,Shopping
Standing Order to Hargreaves Lansdown on 11 Nov 2023,Investment
Direct Debit from Marks & Spencer on 25 Feb 2025,Groceries
Direct Debit from Revolut on 05 Oct 2023,Transfer
Card Payment to Revolut on 02 Jun 2024,Transfer
Standing Order to TFL on 17 Sep 2023,Travel
Standing Order to EasyJet on 16 May 2024,Travel
Card Payment to Airbnb on 05 May 2025,Accommodation
Direct Debit from YouTube Premium on 12 Jun 2023,Entertainment
Standing Order to Spotify on 05 Jun 2024,Entertainment
Faster Payment to Superdrug on 13 Sep 2023,Health & Beauty
Direct Debit from IKEA on 29 Aug 2024,Shopping
Card Payment to Wagamama on 29 Oct 2023,Food & Drink
Standing Order to Superdrug on 17 Sep 2024,Health & Beauty
Transfer from Amazon on 14 Nov 2024,Shopping
Faster Payment to Microsoft 365 on 04 Jun 2024,Technology
Direct Debit from PayPal on 25 May 2025,Transfer
Card Payment to Heathrow Express on 22 Nov 2024,Travel
Standing Order to Starbucks on 18 Jun 2024,Food & Drink
Direct Debit from eBay on 04 Apr 2024,Shopping
Direct Debit from EasyJet on 20 Feb 2025,Travel
Standing Order to Tesco on 21 May 2024,Groceries
Transfer from YouTube Premium on 13 Dec 2024,Entertainment
Faster Payment to Pret A Manger on 24 Nov 2023,Food & Drink
Transfer from Barclays Interest on 16 Mar 2025,Income
Faster Payment to Marks & Spencer on 25 Jan 2024,Groceries
Faster Payment to Revolut on 24 Nov 2023,Transfer
Standing Order to Aviva on 30 Jul 2024,Insurance
Card Payment to EasyJet on 30 Oct 2023,Travel
Transfer from Direct Line on 07 Mar 2024,Insurance
Transfer from EasyJet on 25 Jun 2024,Travel
Direct Debit from EasyJet on 30 Nov 2024,Travel
Faster Payment to McDonald's on 29 Jan 2025,Food & Drink
Direct Debit from Trainline on 23 Jan 2024,Travel
Transfer from IKEA on 21 May 2025,Shopping
Faster Payment to Trainline on 03 Nov 2024,Travel
Faster Payment to EasyJet on 19 May 2024,Travel
Direct Debit from Vodafone on 21 Jul 2024,Utilities
Faster Payment to Disney Plus on 25 Aug 2024,Entertainment
Faster Payment to Spotify on 06 Apr 2024,Entertainment
Direct Debit from Hargreaves Lansdown on 26 Nov 2024,Investment
Faster Payment to Pret A Manger on 07 Jun 2024,Food & Drink
Faster Payment to Netflix on 07 May 2025,Entertainment
Standing Order to Airbnb on 30 Aug 2024,Accommodation
Transfer from Disney Plus on 25 Sep 2024,Entertainment
Faster Payment to Microsoft 365 on 09 Feb 2024,Technology
Direct Debit from Starbucks on 22 Sep 2023,Food & Drink
Standing Order to Apple.com/Bill on 19 Jul 2023,Technology
Standing Order to Premier Inn on 14 Oct 2024,Accommodation
Card Payment to Thames Water on 02 Mar 2024,Utilities
Standing Order to Lidl on 23 Oct 2023,Groceries
Direct Debit from Premier Inn on 13 Oct 2023,Accommodation
Standing Order to Direct Line on 19 Oct 2023,Insurance
Card Payment to Apple.com/Bill on 12 Apr 2025,Technology
Card Payment to iShares on 17 Jul 2024,Investment
Direct Debit from Lidl on 15 May 2024,Groceries
Faster Payment to Vanguard on 22 Jan 2025,Investment
Direct Debit from Wilko on 14 May 2025,Shopping
Faster Payment to Spotify on 02 Jan 2024,Entertainment
Direct Debit from AXA UK on 30 May 2024,Insurance
Transfer from EE on 19 Apr 2024,Utilities
Card Payment to McDonald's on 16 Feb 2025,Food & Drink
Transfer from Direct Line on 18 Feb 2024,Insurance
Card Payment to Thames Water on 17 Mar 2025,Utilities
Card Payment to EasyJet on 19 Dec 2024,Travel
Standing Order to Trainline on 10 Feb 2024,Travel
Standing Order to Amazon on 24 Dec 2023,Shopping
Faster Payment to Transferwise on 04 Nov 2024,Transfer
Faster Payment to Thames Water on 18 Aug 2024,Utilities
Standing Order to Travelodge on 27 Dec 2024,Accommodation
Faster Payment to Superdrug on 16 Jul 2023,Health & Beauty
Direct Debit from Spotify on 22 May 2024,Entertainment
Transfer from Boots UK on 02 Oct 2024,Health & Beauty
Faster Payment to TFL on 16 Aug 2023,Travel
Direct Debit from Starbucks on 29 May 2025,Food & Drink
Transfer from Wilko on 13 Mar 2024,Shopping
Direct Debit from Transferwise on 15 Aug 2024,Transfer
Standing Order to Google Storage on 18 Apr 2025,Technology
Card Payment to Netflix on 19 Mar 2024,Entertainment
Direct Debit from Asda on 17 Oct 2023,Groceries
Standing Order to Travelodge on 15 Jan 2025,Accommodation
Card Payment to Starbucks on 17 Jan 2025,Food & Drink
Transfer from Hargreaves Lansdown on 13 Jun 2024,Investment
Standing Order to Spotify on 01 Apr 2025,Entertainment
Card Payment to Hargreaves Lansdown on 09 Sep 2023,Investment
Direct Debit from Premier Inn on 31 Jan 2024,Accommodation
Card Payment to YouTube Premium on 09 Jun 2024,Entertainment
Direct Debit from AXA UK on 24 Feb 2024,Insurance
Direct Debit from Tesco on 06 Nov 2023,Groceries
Transfer from iShares on 16 Jul 2023,Investment
Standing Order to Direct Line on 04 Jul 2024,Insurance
Card Payment to Starbucks on 03 Feb 2024,Food & Drink
Standing Order to Thames Water on 01 Jun 2025,Utilities
Faster Payment to Aviva on 14 Sep 2024,Insurance
Faster Payment to Premier Inn on 14 Jul 2024,Accommodation
Direct Debit from Lidl on 21 Oct 2023,Groceries
Card Payment to Disney Plus on 11 Jan 2025,Entertainment
Faster Payment to Amazon on 26 Aug 2024,Shopping
Standing Order to EasyJet on 18 Jan 2025,Travel
Card Payment to Tesco on 04 Aug 2024,Groceries
Standing Order to Premier Inn on 06 Apr 2024,Accommodation
Faster Payment to BT Broadband on 19 Jul 2024,Utilities
Transfer from Spotify on 12 Oct 2023,Entertainment
Faster Payment to Sainsbury's on 27 Sep 2024,Groceries
Transfer from YouTube Premium on 05 Mar 2024,Entertainment
Card Payment to TFL on 08 Sep 2024,Travel
Standing Order to eBay on 10 Apr 2024,Shopping
Card Payment to Trainline on 31 Jul 2023,Travel
Standing Order to Starbucks on 04 Aug 2024,Food & Drink
Card Payment to YouTube Premium on 31 Dec 2023,Entertainment
Standing Order to Wagamama on 27 Dec 2023,Food & Drink
Standing Order to Starbucks on 21 Aug 2024,Food & Drink
Transfer from Airbnb on 10 May 2024,Accommodation
Standing Order to Microsoft 365 on 19 Jul 2024,Technology
Card Payment to Hargreaves Lansdown on 15 Jan 2024,Investment
Direct Debit from iShares on 12 Nov 2023,Investment
Faster Payment to Amazon on 27 Sep 2023,Shopping
Transfer from Transferwise on 22 Feb 2024,Transfer
Faster Payment to Vanguard on 08 Feb 2024,Investment
Card Payment to Aviva on 25 Jun 2024,Insurance
Card Payment to Holland & Barrett on 08 Jul 2024,Health & Beauty
Card Payment to Spotify on 18 May 2024,Entertainment
Card Payment to HMRC Refund on 17 Sep 2023,Income
Transfer from Marks & Spencer on 06 Sep 2023,Groceries
Faster Payment to EasyJet on 01 Apr 2025,Travel
Direct Debit from Amazon on 22 Sep 2023,Shopping
Faster Payment to Wilko on 14 Sep 2023,Shopping
Transfer from Aviva on 19 Aug 2024,Insurance
Transfer from Pret A Manger on 21 Oct 2023,Food & Drink
Direct Debit from Greggs on 09 Mar 2025,Food & Drink
Direct Debit from IKEA on 30 Dec 2024,Shopping
Direct Debit from Amazon on 17 Nov 2024,Shopping
Faster Payment to Wagamama on 16 Jun 2024,Food & Drink
Card Payment to Vanguard on 14 Jan 2025,Investment
Standing Order to Aldi on 10 Apr 2025,Groceries
Transfer from Microsoft 365 on 22 Jul 2024,Technology
Standing Order to Payroll Ltd on 25 Mar 2025,Income
Card Payment to HMRC Refund on 26 Sep 2023,Income
Card Payment to Disney Plus on 10 Jan 2025,Entertainment
Direct Debit from Travelodge on 24 Jul 2024,Accommodation
Standing Order to Marks & Spencer on 18 Mar 2025,Groceries
Card Payment to Airbnb on 12 Apr 2025,Accommodation
Direct Debit from Premier Inn on 21 Nov 2024,Accommodation
Direct Debit from Pret A Manger on 16 Feb 2025,Food & Drink
Faster Payment to Wagamama on 16 Mar 2024,Food & Drink
Transfer from Sainsbury's on 20 Dec 2024,Groceries
Direct Debit from Trainline on 10 Jun 2023,Travel
Standing Order to Marks & Spencer on 02 May 2024,Groceries
Faster Payment to AXA UK on 04 Jun 2023,Insurance
Faster Payment to Wilko on 16 Oct 2023,Shopping
Transfer from Heathrow Express on 19 Dec 2023,Travel
Faster Payment to Travelodge on 19 Sep 2023,Accommodation
Card Payment to Google Storage on 16 Mar 2025,Technology
Direct Debit from Boots UK on 29 Apr 2024,Health & Beauty
Faster Payment to Uber on 10 Aug 2023,Travel
Standing Order to Costa Coffee on 23 Dec 2023,Food & Drink
Direct Debit from Marks & Spencer on 12 Oct 2024,Groceries
Transfer from Uber on 13 Aug 2024,Travel
Card Payment to Google Storage on 22 Jul 2024,Technology
Card Payment to Transferwise on 20 Mar 2025,Transfer
Transfer from Direct Line on 10 Mar 2025,Insurance
Card Payment to Greggs on 20 Aug 2024,Food & Drink
Standing Order to Costa Coffee on 15 Jan 2024,Food & Drink
Direct Debit from YouTube Premium on 27 Jul 2024,Entertainment
Standing Order to Vodafone on 06 Oct 2024,Utilities
Standing Order to Wagamama on 19 Oct 2023,Food & Drink
Faster Payment to Trainline on 13 Jun 2023,Travel
Standing Order to Asda on 18 Dec 2024,Groceries
Transfer from Sainsbury's on 14 Sep 2024,Groceries
Transfer from Hargreaves Lansdown on 02 Dec 2023,Investment
Direct Debit from Microsoft 365 on 06 Aug 2023,Technology
Card Payment to Currys PC World on 09 Aug 2024,Technology
Standing Order to Tesco on 13 Oct 2024,Groceries
Card Payment to Starbucks on 23 Aug 2023,Food & Drink
Faster Payment to Google Storage on 10 Sep 2023,Technology
Transfer from TFL on 24 Mar 2025,Travel
Standing Order to Aldi on 24 Mar 2024,Groceries
Direct Debit from Greggs on 08 Sep 2023,Food & Drink
Transfer from Greggs on 27 Mar 2024,Food & Drink
Faster Payment to McDonald's on 18 Apr 2024,Food & Drink
Direct Debit from Revolut on 13 Nov 2023,Transfer
Faster Payment to Payroll Ltd on 12 Apr 2025,Income
Faster Payment to Holland & Barrett on 06 Jan 2025,Health & Beauty
Standing Order to Vodafone on 19 Sep 2024,Utilities
Standing Order to Wilko on 03 Jun 2025,Shopping
Direct Debit from Starbucks on 30 Sep 2024,Food & Drink
Direct Debit from Uber on 30 Apr 2024,Travel
Direct Debit from PayPal on 15 Aug 2023,Transfer
Standing Order to Direct Line on 11 Jul 2023,Insurance
Standing Order to Trainline on 27 Jan 2024,Travel
Faster Payment to EasyJet on 07 Apr 2025,Travel
Direct Debit from AXA UK on 09 Dec 2023,Insurance
Transfer from Amazon on 26 Oct 2024,Shopping
Direct Debit from eBay on 26 Nov 2023,Shopping
Transfer from Superdrug on 14 Jan 2024,Health & Beauty
Faster Payment to Netflix on 13 Jun 2023,Entertainment
Faster Payment to Amazon on 25 Aug 2023,Shopping
Card Payment to EE on 18 Nov 2024,Utilities
Transfer from John Lewis on 06 Oct 2024,Shopping
Card Payment to Microsoft 365 on 24 Sep 2023,Technology
Direct Debit from YouTube Premium on 18 Sep 2024,Entertainment
Faster Payment to Heathrow Express on 06 May 2024,Travel
Direct Debit from Amazon on 31 Dec 2023,Shopping
Transfer from Vodafone on 02 Jan 2025,Utilities
Faster Payment to Tesco on 19 Sep 2024,Groceries
Faster Payment to Wagamama on 16 Jun 2024,Food & Drink
Faster Payment to Superdrug on 28 Nov 2023,Health & Beauty
Standing Order to Sainsbury's on 27 Aug 2024,Groceries
Card Payment to Currys PC World on 17 Sep 2023,Technology
Standing Order to Transferwise on 12 Oct 2023,Transfer
Faster Payment to Pret A Manger on 17 Aug 2023,Food & Drink
Direct Debit from Tesco on 02 Jul 2023,Groceries
Direct Debit from Revolut on 17 Jun 2023,Transfer
Faster Payment to Vodafone on 06 Apr 2025,Utilities
Standing Order to Holland & Barrett on 11 Jun 2024,Health & Beauty
Direct Debit from PayPal on 17 Jan 2024,Transfer
Card Payment to EasyJet on 29 Jul 2023,Travel
Faster Payment to PayPal on 26 Jan 2025,Transfer
Transfer from Disney Plus on 09 Sep 2023,Entertainment
Standing Order to Holland & Barrett on 06 Oct 2024,Health & Beauty
Card Payment to Asda on 25 Nov 2023,Groceries
Transfer from John Lewis on 10 Jul 2024,Shopping
Standing Order to Disney Plus on 19 Jun 2023,Entertainment
Standing Order to McDonald's on 28 Oct 2024,Food & Drink
Direct Debit from Hargreaves Lansdown on 05 May 2025,Investment
Faster Payment to Transferwise on 23 Mar 2024,Transfer
Standing Order to Thames Water on 07 Apr 2025,Utilities
Standing Order to Revolut on 04 Feb 2025,Transfer
Standing Order to Disney Plus on 20 Feb 2025,Entertainment
Standing Order to Tesco on 12 Sep 2024,Groceries
Card Payment to British Gas on 29 Mar 2024,Utilities
Faster Payment to British Gas on 23 Oct 2024,Utilities
Standing Order to Direct Line on 10 Oct 2023,Insurance
Faster Payment to Airbnb on 25 Aug 2024,Accommodation
Card Payment to eBay on 10 Jul 2023,Shopping
Direct Debit from Thames Water on 18 Dec 2024,Utilities
Standing Order to Vanguard on 08 Feb 2025,Investment
Standing Order to Airbnb on 11 Aug 2024,Accommodation
Faster Payment to Superdrug on 11 Mar 2025,Health & Beauty
Standing Order to HMRC Refund on 23 May 2024,Income
Direct Debit from Marks & Spencer on 01 Apr 2024,Groceries
Faster Payment to eBay on 14 May 2025,Shopping
Direct Debit from Airbnb on 14 Sep 2024,Accommodation
Transfer from eBay on 30 Oct 2024,Shopping
Standing Order to Marks & Spencer on 17 Jan 2025,Groceries
Transfer from John Lewis on 07 Sep 2024,Shopping
Card Payment to Uber on 05 Sep 2024,Travel
Faster Payment to PayPal on 15 Aug 2023,Transfer
Standing Order to Asda on 12 Sep 2024,Groceries
Standing Order to Superdrug on 31 Dec 2023,Health & Beauty
Transfer from McDonald's on 25 Jun 2023,Food & Drink
Direct Debit from IKEA on 11 Feb 2024,Shopping
Direct Debit from Aviva on 22 Jun 2023,Insurance
Direct Debit from BT Broadband on 04 Jul 2024,Utilities
Transfer from Sainsbury's on 05 May 2024,Groceries
Transfer from YouTube Premium on 13 Mar 2025,Entertainment
Direct Debit from Premier Inn on 22 Jul 2024,Accommodation
Card Payment to Barclays Interest on 25 Jul 2024,Income
Direct Debit from iShares on 17 Jun 2024,Investment
Card Payment to Sainsbury's on 06 Feb 2025,Groceries
Direct Debit from Disney Plus on 02 Oct 2023,Entertainment
Transfer from eBay on 22 Aug 2023,Shopping
Card Payment to John Lewis on 13 Sep 2024,Shopping
Card Payment to British Gas on 28 Apr 2025,Utilities
Transfer from Barclays Interest on 01 Aug 2024,Income
Faster Payment to Microsoft 365 on 27 Dec 2024,Technology
Transfer from HMRC Refund on 18 Jan 2024,Income
Transfer from Barclays Interest on 06 Jul 2023,Income
Faster Payment to Starbucks on 29 Jul 2023,Food & Drink
Standing Order to Spotify on 27 Dec 2024,Entertainment
Standing Order to EasyJet on 26 Apr 2024,Travel
Direct Debit from Google Storage on 03 Feb 2024,Technology
Faster Payment to Pret A Manger on 25 Jul 2023,Food & Drink
Direct Debit from PayPal on 18 Nov 2023,Transfer
Card Payment to Wagamama on 13 Mar 2024,Food & Drink
Faster Payment to AXA UK on 17 Sep 2024,Insurance
Standing Order to Amazon on 18 Mar 2025,Shopping
Faster Payment to Apple.com/Bill on 15 May 2025,Technology
Direct Debit from Revolut on 18 Nov 2023,Transfer
Faster Payment to Hargreaves Lansdown on 31 Jul 2023,Investment
Transfer from Wagamama on 30 Dec 2024,Food & Drink
Direct Debit from Marks & Spencer on 16 Feb 2024,Groceries
Faster Payment to Google Storage on 08 May 2024,Technology
Standing Order to Starbucks on 22 Aug 2024,Food & Drink
Standing Order to Aldi on 04 Jun 2024,Groceries
Direct Debit from Hargreaves Lansdown on 05 Mar 2024,Investment
Card Payment to Lidl on 20 Apr 2024,Groceries
Standing Order to Lidl on 01 Nov 2024,Groceries
Faster Payment to John Lewis on 12 Aug 2024,Shopping
Standing Order to HMRC Refund on 23 May 2024,Income
Faster Payment to McDonald's on 23 Dec 2023,Food & Drink
Faster Payment to Asda on 31 Aug 2023,Groceries
Transfer from Uber on 19 Jul 2024,Travel
Card Payment to Aviva on 03 Apr 2025,Insurance
Card Payment to Premier Inn on 07 Mar 2025,Accommodation
Standing Order to eBay on 06 Sep 2023,Shopping
Transfer from YouTube Premium on 21 Dec 2023,Entertainment
Transfer from EE on 08 Jan 2025,Utilities
Transfer from John Lewis on 03 Apr 2025,Shopping
Direct Debit from Payroll Ltd on 12 Oct 2023,Income
Faster Payment to Pret A Manger on 03 Mar 2025,Food & Drink
Standing Order to IKEA on 04 Aug 2023,Shopping
Standing Order to Thames Water on 19 Dec 2024,Utilities
Standing Order to Holland & Barrett on 07 Apr 2025,Health & Beauty
Card Payment to Boots UK on 15 Jun 2023,Health & Beauty
Standing Order to Sainsbury's on 01 May 2025,Groceries
Direct Debit from Holland & Barrett on 10 Oct 2023,Health & Beauty
Faster Payment to Holland & Barrett on 01 Sep 2023,Health & Beauty
Card Payment to Aviva on 05 Dec 2024,Insurance
Standing Order to Disney Plus on 12 Dec 2023,Entertainment
Transfer from Airbnb on 09 Sep 2024,Accommodation
Direct Debit from Superdrug on 22 Apr 2025,Health & Beauty
