Description,Category
Online: Vodafone business plan - Thank you,Telephone
Online: Transaction charge - HSBC,Bank Charges
Payment - BT monthly bill,Telephone
Payment - USB-C hub from retailer,Computer Consumables
Transaction: Quarterly management charge - Processed,Management Service Charge
BACS: HMRC corporation tax settlement (Ref: 8401),Corp Tax
Online: Vodafone business plan (Ref: 8401),Telephone
AutoPay - Corporation tax via BACS - Processed,Corp Tax
Faster Payments - VAT return filing (Monthly),Accountancy
AutoPay - Fleet insurance payment - Thank you,Insurance
Payroll services invoice (Ref: 8401),Accountancy
AutoPay - Ebuyer mouse purchase - Thank you,Computer Consumables
Transaction: Energy payment,Light and Heat
Transaction: Professional accounting service (Ref: 8401),Accountancy
AutoPay - Policy charge - Hiscox (Ref: 8401),Insurance
Payment - Service charge - building,Management Service Charge
Transaction: Lease on workspace,Rent
Payment - Corporation Tax payment to HMRC (Monthly),Corp Tax
BACS: VAT return filing (Auto Deducted),Accountancy
Faster Payments - Tax liability settlement,Corp Tax
BACS: Auto CT600 submission - Thank you,Corp Tax
BACS: Overdraft usage fee (Monthly),Bank Charges
Faster Payments - Bank account standing fee (Ref: 8401),Bank Charges
Online: Octopus gas supply (Ref: 8401),Light and Heat
BACS: Amazon - USB drive (Ref: 8401),Computer Consumables
Online: Manual cash withdrawal (Auto Deducted),Cash withdrawal
BACS: ATM cash withdrawal - Processed,Cash withdrawal
Online: Quarterly CT600 tax - Thank you,Corp Tax
Online: Solicitor retainer fee - Processed,Legal
Faster Payments - ATM cash withdrawal - Thank you,Cash withdrawal
BACS: Commercial policy - Aviva (Ref: 8401),Insurance
AutoPay - Cash taken from business account - Processed,Cash withdrawal
Online: Premises rental fee,Rent
Online: Rent for business premises - Thank you,Rent
Faster Payments - Standing order - office rent - Thank you,Rent
Payment - Annual accounts by CPA (Monthly),Accountancy
Payment - Financial statement preparation - Processed,Accountancy
Contract review charge (Auto Deducted),Legal
AutoPay - ATM £100 taken (Ref: 8401),Cash withdrawal
AutoPay - Service charge - building (Ref: 8401),Management Service Charge
Online: Bank fee - online services (Ref: 8401),Bank Charges
Faster Payments - ATM £100 taken (Ref: 8401),Cash withdrawal
Transaction: Regulatory compliance legal cost (Auto Deducted),Legal
BACS: Property management invoice (Monthly),Management Service Charge
Payment - Rent to BusinessLandlord Ltd (Auto Deducted),Rent
Online: End-year tax settlement,Corp Tax
Online: Corporation tax via BACS,Corp Tax
AutoPay - Legal services - Johnson LLP (Monthly),Legal
Octopus gas supply (Auto Deducted),Light and Heat
Solicitor retainer fee (Ref: 8401),Legal
Transaction: Landlord rent transfer - Processed,Rent
AutoPay - Lloyds maintenance cost (Auto Deducted),Bank Charges
Payment - Staples toner replacement (Auto Deducted),Computer Consumables
AutoPay - Bank counter cash issue (Auto Deducted),Cash withdrawal
AutoPay - HMRC CorpTax online - Thank you,Corp Tax
AutoPay - EE landline charge - Thank you,Telephone
Legal services - Johnson LLP,Legal
Online: Commercial policy - Aviva,Insurance
Transaction: British Gas electricity bill (Monthly),Light and Heat
Payment - EE landline charge,Telephone
Online: Quarterly management charge,Management Service Charge
Faster Payments - BT monthly bill,Telephone
AutoPay - TalkTalk broadband payment (Auto Deducted),Telephone
Payment - Business litigation invoice,Legal
Transaction: Barclays cash point (Ref: 8401),Cash withdrawal
Payment - Business park fee (Auto Deducted),Management Service Charge
Online: Financial statement preparation - Thank you,Accountancy
Monthly maintenance service (Auto Deducted),Management Service Charge
Annual insurance renewal,Insurance
End-year tax settlement (Monthly),Corp Tax
Payment - Lawyer services - Processed,Legal
Faster Payments - Account audit charge,Accountancy
Faster Payments - CT advance payment - Thank you,Corp Tax
Faster Payments - Estate maintenance invoice (Ref: 8401),Management Service Charge
Payment - Shared services charge,Management Service Charge
Payment - Business tax remittance (Ref: 8401),Corp Tax
USB-C hub from retailer,Computer Consumables
Transaction: HMRC corporation tax settlement - Processed,Corp Tax
BACS: Lawyer services (Auto Deducted),Legal
Faster Payments - Bank fee - online services (Ref: 8401),Bank Charges
AutoPay - Trademark filing fees - Thank you,Legal
BACS: Staples toner replacement (Auto Deducted),Computer Consumables
BACS: E.ON monthly charge (Monthly),Light and Heat
AutoPay - Annual accounts by CPA,Accountancy
BACS: Energy payment - Processed,Light and Heat
BACS: Direct Line cover (Ref: 8401),Insurance
Payment - TalkTalk broadband payment (Auto Deducted),Telephone
AutoPay - Professional accounting service - Thank you,Accountancy
Cash taken from business account - Thank you,Cash withdrawal
Online: Bank fee - online services (Auto Deducted),Bank Charges
Transaction: Cash taken from business account,Cash withdrawal
Payment - Banking cost deduction (Monthly),Bank Charges
VAT return filing (Ref: 8401),Accountancy
AutoPay - Building insurance cost - Processed,Insurance
Payment - Business tax remittance,Corp Tax
SIM plan billing,Telephone
Online: PC peripherals (Auto Deducted),Computer Consumables
Online: Estate maintenance invoice - Thank you,Management Service Charge
AutoPay - Monitor cable - PC World,Computer Consumables
Payroll services invoice (Monthly),Accountancy
Annual accounts by CPA,Accountancy
AutoPay - Financial statement preparation,Accountancy
BACS: Smith Accountants invoice (Auto Deducted),Accountancy
NPower standing charge (Ref: 8401),Light and Heat
BACS: ScottishPower electricity,Light and Heat
Online: Quarterly CT600 tax,Corp Tax
Online: Three business mobile,Telephone
Faster Payments - Account audit charge - Processed,Accountancy
Faster Payments - Estate maintenance invoice - Processed,Management Service Charge
Faster Payments - Utility Warehouse statement (Auto Deducted),Light and Heat
Faster Payments - Tax advisory fees,Accountancy
BACS: Barclays account charge,Bank Charges
BACS: Bank counter cash issue,Cash withdrawal
Payment - Monthly bank service fee - Thank you,Bank Charges
Payment - Rent for business premises - Thank you,Rent
Online: Manual cash withdrawal (Ref: 8401),Cash withdrawal
AutoPay - Manual cash withdrawal (Auto Deducted),Cash withdrawal
Transaction: Business tax remittance (Monthly),Corp Tax
AutoPay - PC peripherals (Auto Deducted),Computer Consumables
BACS: HMRC CorpTax online,Corp Tax
Faster Payments - Financial statement preparation (Ref: 8401),Accountancy
Faster Payments - Notary and filing - Processed,Legal
Transaction: Facilities upkeep bill,Management Service Charge
Online: Smith Accountants invoice (Monthly),Accountancy
Online: Monthly bank service fee (Ref: 8401),Bank Charges
Payment - Three business mobile - Processed,Telephone
BACS: USB-C hub from retailer,Computer Consumables
AutoPay - Business litigation invoice (Monthly),Legal
BACS: Professional accounting service - Processed,Accountancy
Online: Utility Warehouse statement (Ref: 8401),Light and Heat
Faster Payments - ScottishPower electricity (Monthly),Light and Heat
AutoPay - Transaction charge - HSBC (Monthly),Bank Charges
BACS: Financial statement preparation - Thank you,Accountancy
Faster Payments - Lease on workspace (Monthly),Rent
Online: Bookkeeping service fee,Accountancy
Cashpoint fee - Thank you,Cash withdrawal
AutoPay - Employer liability policy,Insurance
Faster Payments - Cashpoint fee (Ref: 8401),Cash withdrawal
Online: Trademark filing fees (Auto Deducted),Legal
Online: Smart meter top-up (Monthly),Light and Heat
AutoPay - Annual insurance renewal,Insurance
Transaction: Lease on workspace,Rent
AutoPay - End-year tax settlement - Thank you,Corp Tax
Transaction: VOIP services invoice (Auto Deducted),Telephone
British Gas electricity bill - Processed,Light and Heat
AutoPay - Monthly rent via bank (Ref: 8401),Rent
AutoPay - Policy charge - Hiscox,Insurance
Transaction: Commercial policy - Aviva (Auto Deducted),Insurance
Faster Payments - End-year tax settlement - Processed,Corp Tax
Online: Regulatory compliance legal cost,Legal
Transaction: NPower standing charge,Light and Heat
Faster Payments - Payroll services invoice,Accountancy
AutoPay - Cash taken from business account,Cash withdrawal
AutoPay - Premises rental fee (Monthly),Rent
Payment - End-year tax settlement (Auto Deducted),Corp Tax
LegalZoom filing service (Ref: 8401),Legal
Transaction: Legal services - Johnson LLP,Legal
Online: ScottishPower electricity (Ref: 8401),Light and Heat
BACS: E.ON monthly charge (Ref: 8401),Light and Heat
Transaction: Business park fee (Auto Deducted),Management Service Charge
Transaction: Cash taken from business account (Ref: 8401),Cash withdrawal
Online: Property management invoice (Ref: 8401),Management Service Charge
Transaction: Rent to BusinessLandlord Ltd (Auto Deducted),Rent
BACS: Laptop stand - Amazon,Computer Consumables
Payment - Monthly rent via bank (Monthly),Rent
AutoPay - Cash taken from business account (Ref: 8401),Cash withdrawal
AutoPay - Annual insurance renewal,Insurance
Building insurance cost (Ref: 8401),Insurance
AutoPay - BT monthly bill - Thank you,Telephone
BACS: Business park fee,Management Service Charge
Payment - Regulatory compliance legal cost (Monthly),Legal
Transaction: Employer liability policy,Insurance
Transaction: Rent to BusinessLandlord Ltd,Rent
AutoPay - Contract review charge (Auto Deducted),Legal
Faster Payments - Bank account standing fee - Thank you,Bank Charges
BACS: HMRC corporation tax settlement (Auto Deducted),Corp Tax
Regulatory compliance legal cost - Thank you,Legal
Transaction: Monthly phone services (Auto Deducted),Telephone
Standing order - office rent - Thank you,Rent
Online: Building lease monthly (Monthly),Rent
BACS: Monitor cable - PC World,Computer Consumables
Online: Standing order - office rent,Rent
Faster Payments - Energy payment - Thank you,Light and Heat
Transaction: NPower standing charge,Light and Heat
Payment - Service charge - building - Thank you,Management Service Charge
AutoPay - Zurich business protection,Insurance
Payment - Service charge - building (Auto Deducted),Management Service Charge
Transaction: CT advance payment,Corp Tax
AutoPay - Trademark filing fees - Thank you,Legal
BACS: Cash removed - HSBC - Thank you,Cash withdrawal
Online: Fee for international transaction,Bank Charges
Online: Cash removed - HSBC,Cash withdrawal
Transaction: Building lease monthly - Processed,Rent
Payment - CT advance payment - Thank you,Corp Tax
BACS: Banking cost deduction,Bank Charges
Payment - Manual cash withdrawal,Cash withdrawal
BACS: Tax advisory fees,Accountancy
Transaction: Monthly phone services - Processed,Telephone
Lease on workspace (Ref: 8401),Rent
Online: Admin fee from bank,Bank Charges
Payment - Rent to BusinessLandlord Ltd,Rent
BACS: Premises rental fee - Processed,Rent
Transaction: Annual insurance renewal (Ref: 8401),Insurance
Smart meter top-up (Monthly),Light and Heat
Faster Payments - Laptop stand - Amazon (Auto Deducted),Computer Consumables
Transaction: Corporation tax via BACS,Corp Tax
BACS: BT monthly bill,Telephone
Transaction: Barclays account charge - Thank you,Bank Charges
BACS: Company law consultation,Legal
Payment - Monitor cable - PC World (Ref: 8401),Computer Consumables
Online: Payroll services invoice (Monthly),Accountancy
Faster Payments - Facilities upkeep bill (Ref: 8401),Management Service Charge
BACS: Commercial policy - Aviva (Ref: 8401),Insurance
Online: O2 mobile invoice (Ref: 8401),Telephone
BACS: SIM plan billing - Processed,Telephone
Faster Payments - Company law consultation - Processed,Legal
Payment - Utility Warehouse statement (Auto Deducted),Light and Heat
AutoPay - Tax liability settlement (Auto Deducted),Corp Tax
AutoPay - Contract review charge,Legal
Faster Payments - Monitor cable - PC World,Computer Consumables
Faster Payments - End-year accountancy fee,Accountancy
BACS: Direct Line cover,Insurance
Payment - Laptop stand - Amazon - Processed,Computer Consumables
BACS: Vodafone business plan (Monthly),Telephone
AutoPay - Account audit charge - Processed,Accountancy
Faster Payments - Barclays cash point - Processed,Cash withdrawal
Payment - Monitor cable - PC World,Computer Consumables
Online: Smith Accountants invoice (Ref: 8401),Accountancy
BACS: Corporation tax via BACS (Ref: 8401),Corp Tax
Online: Commercial property rent,Rent
Faster Payments - Admin service fee,Management Service Charge
AutoPay - Cash taken from business account (Auto Deducted),Cash withdrawal
Monthly bank service fee - Thank you,Bank Charges
Payment - Direct Line cover (Ref: 8401),Insurance
Online: Banking cost deduction - Processed,Bank Charges
BACS: Policy charge - Hiscox (Ref: 8401),Insurance
BACS: AXA insurance premium,Insurance
AutoPay - Monthly rent via bank,Rent
Faster Payments - Telephone services - BT (Monthly),Telephone
ATM cash withdrawal - Processed,Cash withdrawal
Bulb energy payment (Ref: 8401),Light and Heat
Online: Building lease monthly,Rent
Cash removed - HSBC (Auto Deducted),Cash withdrawal
Faster Payments - AXA insurance premium - Processed,Insurance
Faster Payments - Policy charge - Hiscox,Insurance
Auto CT600 submission (Monthly),Corp Tax
Transaction: Estate maintenance invoice - Processed,Management Service Charge
O2 mobile invoice (Auto Deducted),Telephone
Admin fee from bank,Bank Charges
Online: Solicitor retainer fee (Ref: 8401),Legal
Online: CT advance payment - Processed,Corp Tax
BACS: Utility Warehouse statement,Light and Heat
BACS: Tax advisory fees,Accountancy
Transaction: Telephone services - BT - Thank you,Telephone
Payment - Monthly rent via bank (Auto Deducted),Rent
AutoPay - Quarterly CT600 tax (Auto Deducted),Corp Tax
BACS: Payroll services invoice,Accountancy
HMRC CorpTax online (Auto Deducted),Corp Tax
Transaction: Rent for business premises (Monthly),Rent
Payment - HMRC corporation tax settlement - Thank you,Corp Tax
AutoPay - Direct Line cover,Insurance
AutoPay - ATM £100 taken - Processed,Cash withdrawal
Online: Corporation tax via BACS - Thank you,Corp Tax
AutoPay - AXA insurance premium (Ref: 8401),Insurance
AutoPay - Zurich business protection (Auto Deducted),Insurance
Faster Payments - Commercial property rent (Monthly),Rent
Ebuyer mouse purchase,Computer Consumables
Payment - Standing order - office rent,Rent
Payroll services invoice (Ref: 8401),Accountancy
Faster Payments - Smart meter top-up (Auto Deducted),Light and Heat
Online: Corporation Tax payment to HMRC (Auto Deducted),Corp Tax
Barclays cash point (Monthly),Cash withdrawal
AutoPay - Lease on workspace (Monthly),Rent
Transaction: Quarterly CT600 tax,Corp Tax
Payment - Bank account standing fee (Ref: 8401),Bank Charges
Annual insurance renewal (Auto Deducted),Insurance
Faster Payments - TalkTalk broadband payment (Monthly),Telephone
BACS: Admin service fee (Ref: 8401),Management Service Charge
Online: Landlord rent transfer (Monthly),Rent
Faster Payments - Bank account standing fee - Processed,Bank Charges
Faster Payments - Monthly bank service fee,Bank Charges
Transaction: Staples toner replacement (Monthly),Computer Consumables
Rent for business premises,Rent
Transaction: O2 mobile invoice,Telephone
Online: CT advance payment,Corp Tax
Transaction: VAT return filing,Accountancy
Faster Payments - Office rent payment,Rent
BACS: Cash removed - HSBC,Cash withdrawal
Faster Payments - Laptop stand - Amazon,Computer Consumables
CT advance payment - Thank you,Corp Tax
Faster Payments - Cash machine usage,Cash withdrawal
AutoPay - Commercial policy - Aviva,Insurance
Online: Office Depot keyboard (Auto Deducted),Computer Consumables
Online: Octopus gas supply (Auto Deducted),Light and Heat
Transaction: Employer liability policy (Ref: 8401),Insurance
Online: Quarterly management charge (Monthly),Management Service Charge
AutoPay - Notary and filing - Processed,Legal
BACS: Business park fee,Management Service Charge
AutoPay - Notary and filing (Ref: 8401),Legal
Payment - IT accessories (Ref: 8401),Computer Consumables
Payment - Quarterly management charge (Auto Deducted),Management Service Charge
Online: Commercial policy - Aviva,Insurance
Ebuyer mouse purchase (Auto Deducted),Computer Consumables
BACS: USB-C hub from retailer,Computer Consumables
BT monthly bill (Auto Deducted),Telephone
Payroll services invoice - Thank you,Accountancy
Online: Commercial property rent - Thank you,Rent
Payment - Cashpoint fee - Processed,Cash withdrawal
Payment - AXA insurance premium - Processed,Insurance
Payment - HMRC corporation tax settlement (Monthly),Corp Tax
Transaction: Smart meter top-up,Light and Heat
Transaction: Smith Accountants invoice (Monthly),Accountancy
Payment - Annual accounts by CPA (Auto Deducted),Accountancy
AutoPay - ATM cash withdrawal - Processed,Cash withdrawal
BACS: Building lease monthly,Rent
Transaction: Three business mobile (Auto Deducted),Telephone
Faster Payments - HMRC CorpTax online (Auto Deducted),Corp Tax
Online: Office rent payment - Processed,Rent
Transaction: Annual insurance renewal,Insurance
Faster Payments - Property management invoice (Auto Deducted),Management Service Charge
Smart meter top-up,Light and Heat
Online: Lloyds maintenance cost (Monthly),Bank Charges
VOIP services invoice (Auto Deducted),Telephone
Transaction: Utility Warehouse statement (Ref: 8401),Light and Heat
Online: VOIP services invoice (Ref: 8401),Telephone
AutoPay - Business litigation invoice,Legal
AutoPay - Office Depot keyboard,Computer Consumables
Faster Payments - Rent to BusinessLandlord Ltd,Rent
Faster Payments - Monthly maintenance service,Management Service Charge
Transaction: Trademark filing fees (Auto Deducted),Legal
Payment - EE landline charge,Telephone
Transaction: Property management invoice - Thank you,Management Service Charge
AutoPay - Office Depot keyboard (Monthly),Computer Consumables
Payment - Service charge - building (Ref: 8401),Management Service Charge
Transaction: Laptop stand - Amazon,Computer Consumables
AutoPay - End-year tax settlement,Corp Tax
Transaction: Monthly rent via bank,Rent
Payment - Staples toner replacement (Ref: 8401),Computer Consumables
Faster Payments - SIM plan billing - Thank you,Telephone
Building insurance cost,Insurance
Payment - JLL service cost (Ref: 8401),Management Service Charge
Admin fee from bank,Bank Charges
AutoPay - Payroll services invoice,Accountancy
EE landline charge - Thank you,Telephone
Online: Building insurance cost (Monthly),Insurance
Payment - Monthly maintenance service,Management Service Charge
Payment - Legal services - Johnson LLP,Legal
Transaction: Annual accounts by CPA (Auto Deducted),Accountancy
Faster Payments - Laptop stand - Amazon - Processed,Computer Consumables
Transaction: Tax liability settlement (Monthly),Corp Tax
Faster Payments - Bank counter cash issue,Cash withdrawal
Payment - Tax liability settlement,Corp Tax
BACS: Printer ink from HP - Thank you,Computer Consumables
Faster Payments - Utility Warehouse statement,Light and Heat
Payment - British Gas electricity bill,Light and Heat
Payment - Solicitor retainer fee (Ref: 8401),Legal
British Gas electricity bill (Monthly),Light and Heat
Transaction: Monthly phone services,Telephone
Transaction: Monthly phone services,Telephone
Transaction: Policy charge - Hiscox (Monthly),Insurance
Payment - Office rent payment - Processed,Rent
AutoPay - Monthly bank service fee - Processed,Bank Charges
AutoPay - VAT return filing,Accountancy
Payment - Corporation Tax payment to HMRC,Corp Tax
Payment - Business tax remittance,Corp Tax
BACS: Printer ink from HP,Computer Consumables
Faster Payments - Amazon - USB drive (Monthly),Computer Consumables
Online: Zurich business protection,Insurance
AutoPay - Quarterly management charge - Thank you,Management Service Charge
Payment - Legal services - Johnson LLP - Processed,Legal
BACS: IT accessories,Computer Consumables
AutoPay - Cash machine usage,Cash withdrawal
Payment - Staples toner replacement (Auto Deducted),Computer Consumables
Online: ScottishPower electricity,Light and Heat
Cash machine usage - Thank you,Cash withdrawal
Contract review charge - Thank you,Legal
Transaction: USB-C hub from retailer (Monthly),Computer Consumables
AutoPay - Insurance via broker,Insurance
BACS: Staples toner replacement,Computer Consumables
Payment - Quarterly CT600 tax - Thank you,Corp Tax
Printer ink from HP,Computer Consumables
Online: Monthly phone services,Telephone
Transaction: Corporation Tax payment to HMRC (Ref: 8401),Corp Tax
AutoPay - Facilities upkeep bill (Auto Deducted),Management Service Charge
Payment - O2 mobile invoice - Processed,Telephone
Transaction: E.ON monthly charge (Ref: 8401),Light and Heat
Faster Payments - JLL service cost - Processed,Management Service Charge
Payment - Regulatory compliance legal cost - Thank you,Legal
Monthly phone services - Thank you,Telephone
Transaction: Admin fee from bank,Bank Charges
Online: Notary and filing (Ref: 8401),Legal
Faster Payments - Rent to BusinessLandlord Ltd (Monthly),Rent
Payment - Smith Accountants invoice,Accountancy
Online: Overdraft usage fee (Monthly),Bank Charges
Transaction: Shared services charge - Processed,Management Service Charge
Transaction: LegalZoom filing service,Legal
Bulb energy payment,Light and Heat
Faster Payments - Shared services charge - Processed,Management Service Charge
BACS: Barclays cash point (Monthly),Cash withdrawal
Faster Payments - Cash taken from business account (Monthly),Cash withdrawal
AutoPay - Utility Warehouse statement,Light and Heat
Faster Payments - Business park fee (Ref: 8401),Management Service Charge
Payment - Payroll services invoice - Processed,Accountancy
AutoPay - Notary and filing - Processed,Legal
Vodafone business plan - Thank you,Telephone
Online: Monthly rent via bank - Processed,Rent
AutoPay - ATM £100 taken - Thank you,Cash withdrawal
AutoPay - EDF direct debit,Light and Heat
BACS: SIM plan billing (Monthly),Telephone
Payment - Admin service fee (Ref: 8401),Management Service Charge
Online: Property management invoice (Monthly),Management Service Charge
Online: Barclays cash point,Cash withdrawal
AutoPay - Company law consultation - Thank you,Legal
Payment - Lloyds maintenance cost,Bank Charges
Transaction: Estate maintenance invoice (Auto Deducted),Management Service Charge
Online: Smart meter top-up - Thank you,Light and Heat
Faster Payments - Laptop stand - Amazon (Monthly),Computer Consumables
Payment - Fleet insurance payment,Insurance
Faster Payments - Quarterly management charge,Management Service Charge
BACS: Bulb energy payment,Light and Heat
AutoPay - Smith Accountants invoice (Ref: 8401),Accountancy
Online: Cash removed - HSBC (Ref: 8401),Cash withdrawal
BACS: HMRC CorpTax online (Auto Deducted),Corp Tax
Transaction charge - HSBC (Auto Deducted),Bank Charges
Payment - Tax liability settlement (Auto Deducted),Corp Tax
Smith Accountants invoice (Monthly),Accountancy
BACS: AXA insurance premium,Insurance
Faster Payments - HMRC CorpTax online (Ref: 8401),Corp Tax
BACS: EDF direct debit - Thank you,Light and Heat
Online: Laptop stand - Amazon - Thank you,Computer Consumables
BACS: Quarterly CT600 tax,Corp Tax
Online: Auto CT600 submission (Ref: 8401),Corp Tax
Payment - Cash machine usage (Auto Deducted),Cash withdrawal
Transaction: Energy payment,Light and Heat
Online: Notary and filing,Legal
Online: Bulb energy payment - Processed,Light and Heat
Faster Payments - Rent for business premises - Processed,Rent
Payment - Barclays account charge - Processed,Bank Charges
NPower standing charge - Processed,Light and Heat
AutoPay - Barclays account charge,Bank Charges
AutoPay - Building insurance cost,Insurance
Faster Payments - Shared services charge (Monthly),Management Service Charge
Faster Payments - Business litigation invoice (Auto Deducted),Legal
Online: Auto CT600 submission (Ref: 8401),Corp Tax
BACS: EE landline charge - Processed,Telephone
Online: EE landline charge - Thank you,Telephone
Online: Premises rental fee (Auto Deducted),Rent
Payment - Account audit charge (Monthly),Accountancy
Payment - Printer ink from HP (Ref: 8401),Computer Consumables
Faster Payments - Monthly maintenance service - Thank you,Management Service Charge
Faster Payments - Lawyer services,Legal
Transaction: Corporation Tax payment to HMRC (Auto Deducted),Corp Tax
Faster Payments - Fee for international transaction (Ref: 8401),Bank Charges
Transaction: Vodafone business plan - Thank you,Telephone
Transaction: Bank fee - online services - Thank you,Bank Charges
Cash machine usage (Ref: 8401),Cash withdrawal
BACS: Monthly phone services,Telephone
Online: Office rent payment - Processed,Rent
Online: Rent to BusinessLandlord Ltd,Rent
Transaction: Bookkeeping service fee,Accountancy
Transaction: Admin service fee - Thank you,Management Service Charge
Transaction: End-year accountancy fee - Thank you,Accountancy
Faster Payments - Premises rental fee (Ref: 8401),Rent
Online: Fleet insurance payment,Insurance
Faster Payments - Office Depot keyboard,Computer Consumables
Faster Payments - Landlord rent transfer,Rent
Transaction: Contract review charge,Legal
Transaction: VOIP services invoice,Telephone
BACS: Barclays account charge (Monthly),Bank Charges
AutoPay - Barclays account charge (Monthly),Bank Charges
Online: Direct Line cover - Processed,Insurance
Online: Monthly maintenance service (Ref: 8401),Management Service Charge
Payment - Property management invoice (Ref: 8401),Management Service Charge
Payment - Amazon - USB drive,Computer Consumables
Transaction: Building insurance cost - Thank you,Insurance
Transaction: EE landline charge (Auto Deducted),Telephone
Contract review charge,Legal
BACS: TalkTalk broadband payment,Telephone
Transaction: Corporation Tax payment to HMRC (Monthly),Corp Tax
Payment - Zurich business protection,Insurance
ScottishPower electricity (Monthly),Light and Heat
Faster Payments - Amazon - USB drive - Thank you,Computer Consumables
Transaction: Business litigation invoice,Legal
Faster Payments - Monthly bank service fee (Auto Deducted),Bank Charges
Transaction: TalkTalk broadband payment,Telephone
Landlord rent transfer (Auto Deducted),Rent
Faster Payments - Annual insurance renewal,Insurance
Online: Fee for international transaction - Processed,Bank Charges
AutoPay - Transaction charge - HSBC (Monthly),Bank Charges
Online: Corporation Tax payment to HMRC,Corp Tax
Transaction: Insurance via broker - Thank you,Insurance
Transaction: Amazon - USB drive (Auto Deducted),Computer Consumables
Lloyds bank withdrawal (Ref: 8401),Cash withdrawal
Direct Line cover (Ref: 8401),Insurance
Transaction: LegalZoom filing service - Thank you,Legal
Payment - SIM plan billing - Processed,Telephone
Online: IT accessories (Monthly),Computer Consumables
Faster Payments - E.ON monthly charge,Light and Heat
Transaction: HMRC corporation tax settlement (Monthly),Corp Tax
Online: Printer ink from HP (Monthly),Computer Consumables
Faster Payments - EDF direct debit,Light and Heat
Faster Payments - End-year tax settlement (Auto Deducted),Corp Tax
Faster Payments - Commercial policy - Aviva - Processed,Insurance
BACS: Legal services - Johnson LLP,Legal
BACS: Monitor cable - PC World - Thank you,Computer Consumables
AutoPay - Commercial property rent - Thank you,Rent
BACS: EE landline charge (Auto Deducted),Telephone
PC peripherals - Processed,Computer Consumables
Transaction: Payroll services invoice (Auto Deducted),Accountancy
Faster Payments - AXA insurance premium (Monthly),Insurance
Payment - Business litigation invoice - Processed,Legal
AutoPay - Overdraft usage fee (Ref: 8401),Bank Charges
VOIP services invoice (Ref: 8401),Telephone
Faster Payments - British Gas electricity bill - Thank you,Light and Heat
Online: Bank counter cash issue,Cash withdrawal
Faster Payments - Commercial property rent (Ref: 8401),Rent
