description,category
HMRC Refund TRANSFER [6437],Income
Argos #REF53590,Shopping
Faster Payment to HMRC Refund ref AMWQ80336432734021,Income
Fast3r Paym3nt t0 Gr3ggs r3f ZSOW34191237564359,Food & Drink
Faster Payment to Sainsbury's Local ref NBYX16201087868783,Groceries
Sainsbury's L0cal #REF19121,Groceries
mcdonald's - online purchase,Food & Drink
Faster Payment to Superdrug ref YXYU49320761527883,Health & Beauty
POS Tesco Extra GB,Groceries
tfl l0nd0n - 0nlin3 purchas3,Travel
POS Aldi GB,Groceries
Dir3ct D3bit fr0m Aviva 9-4-2023,Insurance
Costa Coffee #REF53729,Food & Drink
POS KFC GB,Food & Drink
John Lewis TRANSFER [5111],Shopping
Thames Water #REF38131,Utilities
GREGGS PAYMENT,Food & Drink
POS Sainsbury's Local GB,Groceries
McDonald's TRANSFER [4124],Food & Drink
POS Boots GB,Health & Beauty
Card Paym3nt t0 Dir3ct Lin3 0n 2025-04-09,Insurance
Card Paym3nt t0 M0rris0ns 0n 2025-03-30,Groceries
Faster Payment to Premier Inn ref TUTH84943790467385,Accommodation
Lidl TRANSFER [2356],Groceries
hargr3av3s lansd0wn - 0nlin3 purchas3,Investment
O2 UK #REF41614,Utilities
Costa Coffee TRANSFER [6346],Food & Drink
Direct Debit from WaterAid UK 2-8-2022,Charitable Donations
John Lewis 2025-01-21,Shopping
WaterAid UK #REF41726,Charitable Donations
barclays interest - online purchase,Income
hargr3av3s lansd0wn - 0nlin3 purchas3,Investment
Faster Payment to Greggs ref AMPF27656903508610,Food & Drink
RSPCA PAYMENT,Charitable Donations
POS Sainsbury's Local GB,Groceries
john lewis - online purchase,Shopping
direct line - online purchase,Insurance
Faster Payment to Revolut ref DJJD55661569011925,Transfer
Payroll Ltd 2025-05-08,Income
HMRC REFUND PAYMENT,Income
Legal & General 2025-01-09,Insurance
Faster Payment to WaterAid UK ref AHIS23320672116961,Charitable Donations
EASYJET PAYMENT,Travel
McDonald's TRANSFER [5870],Food & Drink
Boots 2025-02-24,Health & Beauty
Boots TRANSFER [8266],Health & Beauty
Morrisons TRANSFER [4665],Groceries
LEGAL & GENERAL PAYMENT,Insurance
Faster Payment to Direct Line ref VZHD65554914435872,Insurance
POS Barclays Interest GB,Income
Faster Payment to iShares ETF ref MIZO64473024190999,Investment
Faster Payment to Giveasyoulive ref UIPA24812153830543,Charitable Donations
hargreaves lansdown - online purchase,Investment
POS HMRC Refund GB,Income
POS iShares ETF GB,Investment
apple.com/bill - online purchase,Technology
Direct Debit from British Gas 4-9-2023,Utilities
uber bv - online purchase,Travel
Card Paym3nt t0 Sainsbury's L0cal 0n 2025-05-24,Groceries
Superdrug #REF42138,Health & Beauty
POS Cancer Research UK GB,Charitable Donations
Dir3ct D3bit fr0m H3athr0w Expr3ss 16-9-2023,Travel
Direct Debit from Superdrug 19-7-2022,Health & Beauty
COSTA COFFEE PAYMENT,Food & Drink
Direct Debit from Superdrug 16-1-2022,Health & Beauty
Faster Payment to Dropbox ref CHFD54765932364718,Technology
Fast3r Paym3nt t0 R3v0lut r3f GMTX07132874817424,Transfer
POS Google Services GB,Technology
L3gal & G3n3ral #REF95416,Insurance
Direct Debit from Pret A Manger 15-8-2024,Food & Drink
UBER BV PAYMENT,Travel
Amazon UK TRANSFER [7478],Shopping
POS Uber BV GB,Travel
Fast3r Paym3nt t0 L3gal & G3n3ral r3f MQPP86695423084052,Insurance
POS Dr0pb0x GB,Technology
Card Paym3nt t0 V0daf0n3 UK 0n 2025-03-03,Utilities
POS Pret A Manger GB,Food & Drink
R3v0lut #REF97469,Transfer
superdrug - online purchase,Health & Beauty
Faster Payment to Travelodge ref NFRU25984970475514,Accommodation
POS EasyJet GB,Travel
AVIVA PAYMENT,Insurance
Hargreaves Lansdown #REF19184,Investment
apple.com/bill - online purchase,Technology
Pr3t A Mang3r TRANSFER [6457],Food & Drink
Faster Payment to Cancer Research UK ref IHYP66567915156919,Charitable Donations
Morrisons TRANSFER [7717],Groceries
MCDONALD'S PAYMENT,Food & Drink
HMRC Refund TRANSFER [3981],Income
Lidl TRANSFER [2900],Groceries
Card Payment to Holland & Barrett on 2025-03-15,Health & Beauty
Direct Debit from Barclays Interest 6-7-2022,Income
POS H0lland & Barr3tt GB,Health & Beauty
Hargreaves Lansdown 2025-05-03,Investment
Fast3r Paym3nt t0 Giv3asy0uliv3 r3f LOHI65105436907047,Charitable Donations
Cancer Research UK TRANSFER [4984],Charitable Donations
Faster Payment to KFC ref TJFG85037045964315,Food & Drink
WaterAid UK 2025-03-22,Charitable Donations
Card Payment to Costa Coffee on 2025-04-06,Food & Drink
Amazon UK TRANSFER [8315],Shopping
Legal & General 2025-04-13,Insurance
POS Cancer Research UK GB,Charitable Donations
WaterAid UK 2025-03-24,Charitable Donations
MICROSOFT 365 PAYMENT,Technology
EBAY UK PAYMENT,Shopping
Card Paym3nt t0 M0rris0ns 0n 2025-03-16,Groceries
rspca - online purchase,Charitable Donations
POS O2 UK GB,Utilities
POS Direct Line GB,Insurance
McDonald's #REF88019,Food & Drink
iShares ETF TRANSFER [2329],Investment
B00ts #REF51911,Health & Beauty
Direct Debit from Morrisons 1-10-2023,Groceries
Card Payment to Travelodge on 2025-03-08,Accommodation
Fast3r Paym3nt t0 Trainlin3 r3f TFPU08116215122532,Travel
AMAZON UK PAYMENT,Shopping
Aviva #REF57845,Insurance
vanguard uk - 0nlin3 purchas3,Investment
POS WaterAid UK GB,Charitable Donations
Card Payment to British Gas on 2025-01-08,Utilities
Trainline TRANSFER [9336],Travel
POS British Gas GB,Utilities
Morrisons #REF58934,Groceries
costa coffee - online purchase,Food & Drink
POS EE Mobile GB,Utilities
aviva - online purchase,Insurance
Direct Debit from Starbucks 26-6-2022,Food & Drink
Faster Payment to Starbucks ref OLRA99445778285745,Food & Drink
Direct Debit from Trainline 8-3-2024,Travel
AIRBNB PAYMENT,Accommodation
Card Payment to Boots on 2025-02-12,Health & Beauty
O2 UK TRANSFER [3466],Utilities
POS Vanguard UK GB,Investment
POS J0hn L3wis GB,Shopping
Faster Payment to Pret A Manger ref WPPU96758064326487,Food & Drink
POS Argos GB,Shopping
Premier Inn TRANSFER [2728],Accommodation
POS Boots GB,Health & Beauty
H0lland & Barr3tt #REF14035,Health & Beauty
GIVEASYOULIVE PAYMENT,Charitable Donations
Fast3r Paym3nt t0 H0lland & Barr3tt r3f CHVU60220866626233,Health & Beauty
Card Payment to Legal & General on 2025-03-05,Insurance
Dir3ct D3bit fr0m Aviva 28-4-2024,Insurance
HMRC REFUND PAYMENT,Income
Direct Debit from Amazon UK 11-6-2022,Shopping
3asyj3t - 0nlin3 purchas3,Travel
UBER BV PAYMENT,Travel
Legal & General 2025-02-01,Insurance
POS McDonald's GB,Food & Drink
Direct Debit from Vanguard UK 6-8-2023,Investment
Faster Payment to Morrisons ref DYAL64813463902481,Groceries
POS Greggs GB,Food & Drink
POS Lidl GB,Groceries
iShar3s ETF 2025-03-15,Investment
HOLLAND & BARRETT PAYMENT,Health & Beauty
Amaz0n UK #REF35888,Shopping
Direct Debit from Wise 20-6-2024,Transfer
Card Payment to Morrisons on 2025-04-02,Groceries
MICROSOFT 365 PAYMENT,Technology
Card Payment to Pret A Manger on 2025-05-27,Food & Drink
M0nz0 2025-04-13,Transfer
HMRC Refund 2025-04-15,Income
POS Wise GB,Transfer
easyjet - online purchase,Travel
O2 UK 2025-02-08,Utilities
Fast3r Paym3nt t0 O2 UK r3f FXFX71101930147519,Utilities
VODAFONE UK PAYMENT,Utilities
costa coffee - online purchase,Food & Drink
Direct Debit from Direct Line 7-11-2024,Insurance
Starbucks #REF29018,Food & Drink
VANGUARD UK PAYMENT,Investment
BRITISH GAS PAYMENT,Utilities
Card Payment to Boots on 2025-04-03,Health & Beauty
Asda TRANSFER [2054],Groceries
Faster Payment to Superdrug ref BUUW56633513060013,Health & Beauty
Card Payment to HMRC Refund on 2025-03-27,Income
Faster Payment to Hargreaves Lansdown ref FKRM70006568994528,Investment
Premier Inn TRANSFER [5544],Accommodation
Direct Debit from Payroll Ltd 28-7-2024,Income
RSPCA TRANSFER [1848],Charitable Donations
TRAINLINE PAYMENT,Travel
aviva - online purchase,Insurance
McDonald's 2025-03-29,Food & Drink
Payroll Ltd #REF40716,Income
KFC #REF46635,Food & Drink
Card Payment to O2 UK on 2025-02-25,Utilities
Direct Debit from Costa Coffee 19-10-2023,Food & Drink
ishares etf - online purchase,Investment
Faster Payment to Boots ref OETS86154984703870,Health & Beauty
TRAVELODGE PAYMENT,Accommodation
monzo - online purchase,Transfer
Payr0ll Ltd TRANSFER [9059],Income
Travelodge #REF85771,Accommodation
tfl london - online purchase,Travel
Premier Inn 2025-01-18,Accommodation
POS Heathrow Express GB,Travel
iShares ETF TRANSFER [6756],Investment
POS Micr0s0ft 365 GB,Technology
Direct Debit from Tesco Extra 12-10-2024,Groceries
Argos #REF91849,Shopping
Lidl TRANSFER [6448],Groceries
ebay uk - online purchase,Shopping
Lidl #REF29075,Groceries
POS Hargr3av3s Lansd0wn GB,Investment
Direct Debit from Sainsbury's Local 14-8-2024,Groceries
TFL London 2025-03-27,Travel
Tham3s Wat3r #REF90582,Utilities
Airbnb #REF53346,Accommodation
Faster Payment to Sainsbury's Local ref UDFG64245128289991,Groceries
Uber BV #REF88267,Travel
Direct Debit from Microsoft 365 10-5-2024,Technology
hargreaves lansdown - online purchase,Investment
POS Ub3r BV GB,Travel
Direct Debit from iShares ETF 21-6-2022,Investment
Dir3ct D3bit fr0m Canc3r R3s3arch UK 17-6-2023,Charitable Donations
Aldi #REF69075,Groceries
POS TFL London GB,Travel
giveasyoulive - online purchase,Charitable Donations
VANGUARD UK PAYMENT,Investment
APPLE.COM/BILL PAYMENT,Technology
arg0s - 0nlin3 purchas3,Shopping
Faster Payment to Barclays Interest ref CGVU02346918968302,Income
john lewis - online purchase,Shopping
Vanguard UK TRANSFER [5552],Investment
GIVEASYOULIVE PAYMENT,Charitable Donations
Apple.com/Bill TRANSFER [4936],Technology
Fast3r Paym3nt t0 G00gl3 S3rvic3s r3f XIDA04035896051315,Technology
hargreaves lansdown - online purchase,Investment
Faster Payment to Direct Line ref VMLG06169103513510,Insurance
Faster Payment to O2 UK ref LKBY99564346234512,Utilities
M0nz0 #REF94357,Transfer
Card Paym3nt t0 Appl3.c0m/Bill 0n 2025-01-13,Technology
POS TFL London GB,Travel
Card Payment to EE Mobile on 2025-01-03,Utilities
POS Holland & Barrett GB,Health & Beauty
Faster Payment to WaterAid UK ref UHSW31260651730090,Charitable Donations
Faster Payment to Direct Line ref FOXD94962069888772,Insurance
Amazon UK #REF73781,Shopping
LEGAL & GENERAL PAYMENT,Insurance
Direct Debit from Hargreaves Lansdown 11-2-2023,Investment
Starbucks TRANSFER [1635],Food & Drink
Giveasyoulive TRANSFER [4272],Charitable Donations
Greggs TRANSFER [9580],Food & Drink
Card Payment to McDonald's on 2025-04-10,Food & Drink
Faster Payment to TFL London ref VFEL15742360153745,Travel
TFL London #REF96286,Travel
legal & general - online purchase,Insurance
arg0s - 0nlin3 purchas3,Shopping
POS iShares ETF GB,Investment
L3gal & G3n3ral TRANSFER [3935],Insurance
Card Payment to Airbnb on 2025-01-09,Accommodation
Pr3mi3r Inn #REF19577,Accommodation
Holland & Barrett #REF16467,Health & Beauty
Pret A Manger #REF45251,Food & Drink
THAMES WATER PAYMENT,Utilities
Card Payment to John Lewis on 2025-02-21,Shopping
Card Payment to Aviva on 2025-02-14,Insurance
Faster Payment to Morrisons ref YFGD15810980147984,Groceries
Holland & Barrett #REF53738,Health & Beauty
Pr3t A Mang3r #REF51101,Food & Drink
Fast3r Paym3nt t0 Pr3t A Mang3r r3f ZJKP48441572959578,Food & Drink
Boots TRANSFER [5736],Health & Beauty
superdrug - online purchase,Health & Beauty
superdrug - online purchase,Health & Beauty
Cancer Research UK #REF84026,Charitable Donations
Faster Payment to Vanguard UK ref NCXX13361592894530,Investment
AIRBNB PAYMENT,Accommodation
iShares ETF 2025-01-25,Investment
Direct Debit from Sainsbury's Local 16-7-2022,Groceries
uber bv - online purchase,Travel
Dir3ct D3bit fr0m HMRC R3fund 24-8-2024,Income
POS Aviva GB,Insurance
Wise TRANSFER [8181],Transfer
Tesco Extra #REF15866,Groceries
POS Legal & General GB,Insurance
Card Payment to Boots on 2025-01-13,Health & Beauty
AIRBNB PAYMENT,Accommodation
Dropbox 2025-02-17,Technology
Fast3r Paym3nt t0 Lidl r3f HHHC26020391737731,Groceries
Fast3r Paym3nt t0 Barclays Int3r3st r3f GALL41607856037111,Income
Barclays Interest #REF66969,Income
Card Paym3nt t0 RSPCA 0n 2025-02-16,Charitable Donations
Faster Payment to KFC ref PCZD03793438884280,Food & Drink
Boots TRANSFER [9722],Health & Beauty
revolut - online purchase,Transfer
Card Payment to Google Services on 2025-04-14,Technology
Thames Water 2025-03-09,Utilities
Card Payment to Direct Line on 2025-04-13,Insurance
POS Asda GB,Groceries
POS McDonald's GB,Food & Drink
Faster Payment to Morrisons ref LOCD49238768624886,Groceries
Card Payment to EE Mobile on 2025-02-23,Utilities
Card Payment to Revolut on 2025-05-19,Transfer
Card Payment to Starbucks on 2025-04-26,Food & Drink
Micr0s0ft 365 TRANSFER [1209],Technology
Fast3r Paym3nt t0 Micr0s0ft 365 r3f CVRR27371963064512,Technology
Faster Payment to Vodafone UK ref UXFT74212681946194,Utilities
Direct Debit from Tesco Extra 28-11-2024,Groceries
trav3l0dg3 - 0nlin3 purchas3,Accommodation
Faster Payment to Superdrug ref LORC09211365722488,Health & Beauty
TFL LONDON PAYMENT,Travel
LEGAL & GENERAL PAYMENT,Insurance
STARBUCKS PAYMENT,Food & Drink
Card Payment to Travelodge on 2025-04-28,Accommodation
Dir3ct D3bit fr0m British Gas 17-2-2023,Utilities
Direct Debit from Tesco Extra 3-10-2023,Groceries
Faster Payment to Morrisons ref URNS74481510626947,Groceries
Direct Debit from Aviva 23-10-2023,Insurance
POS Lidl GB,Groceries
Card Payment to Travelodge on 2025-01-24,Accommodation
Faster Payment to eBay UK ref LFVH37065695080989,Shopping
Direct Debit from Airbnb 9-10-2024,Accommodation
Costa Coffee #REF72476,Food & Drink
HOLLAND & BARRETT PAYMENT,Health & Beauty
Amazon UK 2025-06-03,Shopping
Faster Payment to iShares ETF ref VHON82191917189153,Investment
Payroll Ltd 2025-01-03,Income
airbnb - online purchase,Accommodation
Direct Debit from Microsoft 365 14-2-2022,Technology
Thames Water 2025-05-14,Utilities
Faster Payment to KFC ref OIPP84981815691147,Food & Drink
ALDI PAYMENT,Groceries
Faster Payment to Hargreaves Lansdown ref NJIE11197824246146,Investment
Fast3r Paym3nt t0 HMRC R3fund r3f LIJF83860114429941,Income
Travelodge #REF69244,Accommodation
Apple.com/Bill #REF83744,Technology
McDonald's #REF17429,Food & Drink
Fast3r Paym3nt t0 Starbucks r3f SOPH22304260832751,Food & Drink
Faster Payment to British Gas ref ZWFD24635645486499,Utilities
giveasyoulive - online purchase,Charitable Donations
monzo - online purchase,Transfer
Travelodge 2025-05-14,Accommodation
Card Paym3nt t0 iShar3s ETF 0n 2025-01-21,Investment
COSTA COFFEE PAYMENT,Food & Drink
Faster Payment to Legal & General ref IPYO83733926043915,Insurance
premier inn - online purchase,Accommodation
Faster Payment to Airbnb ref RTHH21781657207209,Accommodation
Direct Debit from Uber BV 19-4-2022,Travel
Costa Coffee TRANSFER [9052],Food & Drink
pret a manger - online purchase,Food & Drink
Sainsbury's Local 2025-04-13,Groceries
POS Amazon UK GB,Shopping
aviva - online purchase,Insurance
Faster Payment to Premier Inn ref CKMR01383135739270,Accommodation
John Lewis #REF54299,Shopping
Amazon UK TRANSFER [7062],Shopping
Card Paym3nt t0 Trav3l0dg3 0n 2025-02-10,Accommodation
Direct Debit from Hargreaves Lansdown 1-10-2023,Investment
Card Payment to Starbucks on 2025-03-29,Food & Drink
asda - online purchase,Groceries
HEATHROW EXPRESS PAYMENT,Travel
POS M0rris0ns GB,Groceries
Asda TRANSFER [1150],Groceries
Premier Inn #REF74354,Accommodation
JOHN LEWIS PAYMENT,Shopping
Card Payment to Direct Line on 2025-05-28,Insurance
Giveasyoulive 2025-04-12,Charitable Donations
Card Paym3nt t0 KFC 0n 2025-02-09,Food & Drink
UBER BV PAYMENT,Travel
RSPCA PAYMENT,Charitable Donations
Fast3r Paym3nt t0 Giv3asy0uliv3 r3f MBRL12293651505393,Charitable Donations
G00gl3 S3rvic3s 2025-04-18,Technology
Card Paym3nt t0 Wis3 0n 2025-04-13,Transfer
Travelodge TRANSFER [2495],Accommodation
Uber BV #REF71137,Travel
Card Payment to Vanguard UK on 2025-04-18,Investment
TFL London 2025-03-29,Travel
Aldi #REF63850,Groceries
